time,P,Q,R,Phi,Theta,Psi,U,V,W,X,Y,Z,RPM1,RPM2,RPM3,RPM4,RPM5,RPM6,THR1,THR2,THR3,TJR4,THR5,THR6,Phi_cmd,Theta_cmd,Psi_cmd,Alt_cmd,X_cmd,Y_cmd,Ax,Ay,Az,Fault_M1,Fault_M2,Fault_M3,Fault_M4,Fault_M5,Fault_M6
0.2,-0.0029406545,-0.0029704779,-0.0026863785,-9.1663548e-05,-8.376934e-05,-5.8355474e-06,2.274689e-05,-2.1379197e-05,1.8766792,-7.0583846e-06,7.9844575e-06,0.16086253,4267.7543,4268.5767,4268.6623,4269.1814,4268.359,4268.2734,40.846251,40.856456,40.857518,40.863961,40.853756,40.852693,2.0107203e-05,8.0002722e-06,0,3,0,0,-0.0025582968,-0.0027649606,19.378855,1,1,1,1,1,1
0.21,-0.0024981615,-0.0025526756,-0.0023888222,-9.3822786e-05,-8.6347594e-05,-6.1533339e-06,1.9339846e-05,-1.6408887e-05,1.9677625,-8.4834856e-06,9.5787893e-06,0.18008888,4194.4259,4195.1484,4195.2217,4195.6807,4194.9581,4194.8848,39.936288,39.945255,39.946165,39.95186,39.942893,39.941983,4.7517458e-05,3.0596432e-05,0,3,0,0,-0.0022327073,-0.0025117093,18.915969,1,1,1,1,1,1
0.22,-0.0014905798,-0.0015722152,-0.0015486771,-9.4346432e-05,-8.7550593e-05,-6.4058958e-06,1.3207148e-05,-8.2057029e-06,2.054111,-1.006967e-05,1.1348136e-05,0.20020243,4124.2184,4124.6903,4124.7416,4125.0431,4124.5712,4124.5199,39.065055,39.070911,39.071547,39.075289,39.069433,39.068796,8.3037397e-05,6.0323005e-05,0,3,0,0,-0.0013742002,-0.0017072503,18.443324,1,1,1,1,1,1
0.23,-0.0013334057,-0.0014425776,-0.0015680684,-9.3061128e-05,-8.7219935e-05,-6.5832979e-06,3.9183397e-06,3.7072836e-06,2.1356764,-1.1815009e-05,1.3288975e-05,0.22115556,4056.8922,4057.3486,4057.3916,4057.6879,4057.2315,4057.1885,38.229577,38.235241,38.235773,38.239451,38.233787,38.233254,0.00012456864,9.5415046e-05,0,3,0,0,-0.0013890234,-0.0017474882,17.964989,1,1,1,1,1,1
0.24,-0.00027063526,-0.00040639641,-0.00068206687,-8.9929008e-05,-8.5313356e-05,-6.6821699e-06,-8.7132869e-06,1.9520566e-05,2.2124577,-1.3714737e-05,1.5394528e-05,0.24290039,3992.9087,3993.102,3993.1221,3993.2529,3993.0596,3993.0394,37.435579,37.437978,37.438228,37.43985,37.437451,37.437201,0.00016930562,0.00013349327,0,3,0,0,-0.00050552795,-0.00087432119,17.487449,1,1,1,1,1,1
0.25,0.0052971308,0.0051369335,0.0047167643,-8.4977803e-05,-8.1844487e-05,-6.7022048e-06,-2.473506e-05,3.9259485e-05,2.2844937,-1.5761427e-05,1.7654982e-05,0.26538925,3933.1247,3931.8201,3931.7453,3930.911,3932.2157,3932.2904,36.693695,36.677505,36.676577,36.666224,36.682414,36.683342,0.00021560179,0.00017317665,0,3,0,0,0.0048797176,0.0045251395,17.018319,1,1,1,1,1,1
0.26,0.00093687013,0.00076066087,0.00023961274,-7.8469305e-05,-7.7029105e-05,-6.654801e-06,-4.3707399e-05,6.2384024e-05,2.3518571,-1.7945282e-05,2.0057842e-05,0.28857502,3874.157,3874.0684,3874.0614,3874.0164,3874.105,3874.112,35.961941,35.960841,35.960754,35.960195,35.961295,35.961382,0.00025762675,0.00020945229,0,3,0,0,0.0003328918,0.0001190586,16.546572,1,1,1,1,1,1
0.27,0.0048181186,0.0046340391,0.0040543235,-7.1068149e-05,-7.1431949e-05,-6.5717976e-06,-6.4339256e-05,8.7369873e-05,2.414648,-2.0254762e-05,2.2588677e-05,0.31241146,3820.2152,3819.0756,3819.0046,3818.2808,3819.4204,3819.4914,35.292554,35.278413,35.277531,35.26855,35.282692,35.283573,0.00028504518,0.0002333887,0,3,0,0,0.004105287,0.0039786214,16.093135,1,1,1,1,1,1
0.28,0.0032352159,0.0030498678,0.0024450157,-6.3142972e-05,-6.5362101e-05,-6.4700592e-06,-8.5888358e-05,0.00011332731,2.4729889,-2.2677547e-05,2.5232249e-05,0.33685343,3768.034,3767.3344,3767.2889,3766.85,3767.5496,3767.5951,34.645016,34.636335,34.63577,34.630324,34.639006,34.63957,0.00030391334,0.00025023216,0,3,0,0,0.0024422406,0.0024314691,15.64652,1,1,1,1,1,1
0.29,0.0018387575,0.0016597467,0.0010703203,-5.5226661e-05,-5.9272094e-05,-6.3750093e-06,-0.00010722679,0.00013892416,2.5270196,-2.5201212e-05,2.7973295e-05,0.36185713,3718.8594,3718.5406,3718.5189,3718.3254,3718.6443,3718.666,34.034789,34.030832,34.030563,34.028162,34.032119,34.032388,0.00030937564,0.00025576134,0,3,0,0,0.0010204532,0.0011162885,15.214136,1,1,1,1,1,1
