time,P,Q,R,Phi,Theta,Psi,U,V,W,X,Y,Z,RPM1,RPM2,RPM3,RPM4,RPM5,RPM6,THR1,THR2,THR3,TJR4,THR5,THR6,Phi_cmd,Theta_cmd,Psi_cmd,Alt_cmd,X_cmd,Y_cmd,Ax,Ay,Az,Fault_M1,Fault_M2,Fault_M3,Fault_M4,Fault_M5,Fault_M6
0.2,-0.0029406614,0.0072484476,-0.0026863791,-9.1664897e-05,0.00051901761,-5.8761108e-06,-0.00056601943,-2.137994e-05,1.8766791,1.2709333e-05,7.984419e-06,0.16086253,4266.433,4267.2553,4268.6622,4270.5027,4269.6804,4268.2735,40.829855,40.840059,40.857518,40.880357,40.870153,40.852694,2.0029959e-05,0.014217712,0,3,0.04,0,-0.0015703113,-0.0027649586,19.378856,1,1,1,1,1,1
0.21,-0.002498171,0.0087861886,-0.0023888229,-9.3824429e-05,0.0006241969,-6.2039139e-06,-0.00071236248,-1.6409849e-05,1.9677624,1.731472e-05,9.5787346e-06,0.18008888,4193.0751,4193.7976,4195.2217,4197.0315,4196.309,4194.8848,39.919526,39.928492,39.946165,39.968623,39.959656,39.941984,4.7431605e-05,0.015125846,0,3,0.042,0,-0.0011845574,-0.0025117076,18.915971,1,1,1,1,1,1
0.22,-0.0014905926,0.010921498,-0.0015486781,-9.4348386e-05,0.00074212855,-6.4677111e-06,-0.0008827468,-8.206917e-06,2.0541108,2.3087346e-05,1.134806e-05,0.20020243,4122.8398,4123.3116,4124.7416,4126.4218,4125.9499,4124.52,39.047947,39.053803,39.071548,39.092398,39.086542,39.068797,8.2943472e-05,0.016058934,0,3,0.044,0,-0.00027504408,-0.0017072488,18.443326,1,1,1,1,1,1
0.23,-0.0013334229,0.012237114,-0.0015680695,-9.3063399e-05,0.00087330099,-6.6574029e-06,-0.0010785583,3.7057879e-06,2.1356762,3.0212092e-05,1.3288871e-05,0.22115556,4055.4874,4055.9438,4057.3916,4059.0929,4058.6365,4057.1886,38.212143,38.217807,38.235774,38.256886,38.251222,38.233255,0.00012446741,0.017013586,0,3,0.046,0,-0.00024861092,-0.0017474865,17.964992,1,1,1,1,1,1
0.24,-0.00027065843,0.014486862,-0.00068206814,-8.9931593e-05,0.0010180499,-6.7693753e-06,-0.0013007414,1.9518751e-05,2.2124573,3.8885851e-05,1.539439e-05,0.24290039,3991.4792,3991.6725,3993.1223,3994.6826,3994.4893,3993.0396,37.41784,37.420239,37.438229,37.457592,37.455193,37.437203,0.00016919794,0.017985625,0,3,0.048,0,0.00066602767,-0.000874319,17.487451,1,1,1,1,1,1
0.25,0.0052971,0.021268045,0.0047167629,-8.4980694e-05,0.0011766208,-6.8030062e-06,-0.0015498977,3.9257301e-05,2.2844932,4.9316562e-05,1.76548e-05,0.26538925,3931.6723,3930.3676,3931.7454,3932.3638,3933.6685,3932.2907,36.675671,36.65948,36.676579,36.684253,36.700443,36.683345,0.00021548863,0.018971749,0,3,0.05,0,0.0060721378,0.0045251428,17.018323,1,1,1,1,1,1
0.26,0.00093682884,0.018150837,0.00023961109,-7.8472507e-05,0.0013490252,-6.7693248e-06,-0.0018259361,6.2381378e-05,2.3518564,6.1722193e-05,2.0057607e-05,0.28857501,3872.6833,3872.5946,3874.0616,3875.4907,3875.5793,3874.1123,35.943652,35.942552,35.960757,35.978491,35.979591,35.961386,0.00025750874,0.019964932,0,3,0.052,0,0.0015358999,0.00011906694,16.546575,1,1,1,1,1,1
0.27,0.0048180644,0.023301632,0.0040543217,-7.107172e-05,0.0015348961,-6.6998206e-06,-0.0021277091,8.736657e-05,2.414647,7.6329442e-05,2.2588379e-05,0.31241145,3818.7219,3817.5823,3819.005,3819.7749,3820.9145,3819.4918,35.274023,35.259881,35.277536,35.287091,35.301232,35.283578,0.00028492189,0.020954172,0,3,0.054,0,0.0053087441,0.0039786331,16.09314,1,1,1,1,1,1
0.28,0.0032351469,0.023010567,0.0024450137,-6.3147005e-05,0.0017340945,-6.611058e-06,-0.0024544171,0.00011332308,2.4729876,9.33722e-05,2.5231876e-05,0.33685341,3766.5231,3765.8235,3767.2894,3768.362,3769.0616,3767.5957,34.626267,34.617585,34.635777,34.649087,34.657768,34.639577,0.00030378444,0.021942614,0,3,0.056,0,0.0036362531,0.0024314858,15.646526,1,1,1,1,1,1
0.29,0.0018386719,0.022926751,0.0010703181,-5.5231308e-05,0.0019463121,-6.5282167e-06,-0.0028046788,0.00013891864,2.527018,0.00011309038,2.7972836e-05,0.3618571,3717.333,3717.0141,3718.5196,3719.8533,3720.1722,3718.6667,34.015846,34.011889,34.030572,34.047122,34.05108,34.032397,0.00030923997,0.022923926,0,3,0.058,0,0.0021954549,0.0011163099,15.214142,1,1,1,1,1,1
