P,Q,R,Phi,The,Psi,U,V,W,X,Y,Z,RPM1,RPM2,RPM3,RPM4,RPM5,RPM6,THR1,THR2,THR3,THR4,THR5,THR6,Phi_sp,The_sp,Psi_sp,Alt_sp,X_sp,Y_sp,Ax,Ay,Az,M1 Status,M2 Status,M3 Status,M4 Status,M5 Status,M6 Status
7.79159394433975e-17,-3.4147797174903e-17,-0.0487001128786014,8.70118765971264e-19,4.45192831600449e-18,0.783701204639509,1.00267141268819e-18,3.06125577358875e-18,0.765851192398813,1.08148289339289e-20,1.66182260018844e-19,0.0264527825837911,5221.19272387224,4992.12431175081,5221.19272387224,4992.12431175081,5221.19272387224,4992.12431175081,52.6778606655445,49.8352565242581,52.6778606655445,49.8352565242581,52.6778606655445,49.8352565242581,6.04846886404117e-18,-4.35152069539802e-18,0,3,0,0,-2.97697075699924e-17,-8.48545569835189e-19,21.6805870426447,0.999945006333292,0.999945006333292,0.999945006333292,0.999945006333292,0.999945006333292,0.999945006333292
3.89391701780343e-17,-9.2592849284237e-17,-0.0572153886334753,1.25743696664753e-18,3.72138455292034e-18,0.783171872621078,2.02679996319395e-18,3.30057269022775e-18,0.885686353473879,2.923462739557e-20,2.16831041098641e-19,0.0347102905596943,5133.62619037156,4908.84557090421,5133.62619037156,4908.84557090421,5133.62619037156,4908.84557090421,51.5912115354358,48.8018163767523,51.5912115354358,48.8018163767523,51.5912115354358,48.8018163767523,3.49192450086441e-18,-1.09454451581887e-17,0,3,0,0,-1.59133069047009e-17,1.66329251685355e-18,21.7935161075066,0.999979377374984,0.999979377374984,0.999979377374984,0.999979377374984,0.999979377374984,0.999979377374984
1.16825152156144e-16,-1.47093532675377e-17,-0.0659905591641606,2.03422169900182e-18,2.99112303764131e-18,0.782556020542079,3.02417375437554e-18,3.8772574907329e-18,1.00558747649271,5.5321820782177e-20,2.71361659353488e-19,0.0441673190292923,5044.59762158887,4824.25834346953,5044.59762158887,4824.25834346953,5044.59762158887,4824.25834346953,50.4864194081812,47.7521386809978,50.4864194081811,47.7521386809978,50.4864194081812,47.7521386809978,7.05666453081519e-18,-1.10152543121827e-17,0,3,0,0,5.58587830755916e-17,-4.00532819469119e-17,21.8001123018836,0.999992266515619,0.999992266515619,0.999992266515619,0.999992266515619,0.999992266515619,0.999992266515619
9.73239982434411e-17,-7.31859033435227e-17,-0.0749485053037754,3.00566596557906e-18,2.45602313704592e-18,0.781851441680212,3.86027505771708e-18,4.69043705467114e-18,1.12461220756241,8.9156503847638e-20,3.27269272946663e-19,0.0548197124780905,4954.92165993302,4739.14069573599,4954.92165993302,4739.14069573599,4954.92165993302,4739.14069573599,49.3735935164924,46.6958787815942,49.3735935164924,46.6958787815942,49.3735935164924,46.6958787815942,9.6869481212981e-18,-9.69033576363963e-18,0,3,0,0,-2.24376757154053e-17,1.06246115716173e-18,21.7124731069691,0.999997099943357,0.999997099943357,0.999997099943357,0.999997099943357,0.999997099943357,0.999997099943357
1.75187249071329e-16,-9.27341861665087e-17,-0.0840199390290507,4.36665250607526e-18,1.53198184769043e-18,0.781056661333299,5.14869269572358e-18,5.9450140203233e-18,1.24193591072689,1.3117636808276e-19,3.82245805437213e-19,0.066654483978729,4865.32246423555,4654.18376084832,4865.32246423555,4654.18376084832,4865.32246423555,4654.18376084832,48.2617202451547,45.6416132339958,48.2617202451547,45.6416132339958,48.2617202451547,45.6416132339958,1.45054885050111e-17,-1.46476844817459e-17,0,3,0,0,-8.57394361898895e-19,-4.97093709197003e-17,21.5423703164486,0.999998912478759,0.999998912478759,0.999998912478759,0.999998912478759,0.999998912478759,0.999998912478759
1.93090225483395e-17,-1.12268818059951e-16,-0.0931433279849391,5.33820382077964e-18,6.08717966504435e-19,0.780170858759357,6.45349437007866e-18,6.69669717352158e-18,1.35684783023229,1.82141070248046e-19,4.32836100357506e-19,0.0796509738648551,4776.43564158874,4569.99365931371,4776.43564158874,4569.99365931371,4776.43564158874,4569.99365931371,47.158687104,44.5968636368722,47.158687104,44.5968636368722,47.158687104,44.5968636368722,9.71722705651513e-18,-1.52519899679129e-17,0,3,0,0,-2.71993053420397e-17,1.00735589510294e-16,21.3011919505395,0.999999592179535,0.999999592179535,0.999999592179535,0.999999592179535,0.999999592179535,0.999999592179535
-3.92148888615251e-17,-1.51210894278544e-16,-0.102264673087633,5.14135279219957e-18,-7.03562680044013e-19,0.77919379062286,8.30426165816362e-18,5.91158997474169e-18,1.46874604361388,2.41793977235514e-19,4.76320625918792e-19,0.0937819642654754,4688.81103964073,4487.09420844308,4688.81103964073,4487.09420844308,4688.81103964073,4487.09420844308,46.071317378645,43.5681302546794,46.071317378645,43.5681302546794,46.071317378645,43.5681302546794,-5.90528874756312e-18,-2.1327195022431e-17,0,3,0,0,-2.95071772070043e-17,2.86734312759054e-17,20.9998213381589,0.999999847067325,0.999999847067325,0.999999847067325,0.999999847067325,0.999999847067325,0.999999847067325
-1.17196983418741e-16,-5.37747894483172e-17,-0.111337167844304,4.55535784213105e-18,-1.6258805179595e-18,0.778125717280611,9.57714425871764e-18,4.51099432595263e-18,1.5771312233085,3.07910111381497e-19,5.11213191393455e-19,0.109014737108717,4602.91659169709,4405.93062649312,4602.91659169709,4405.93062649312,4602.91659169709,4405.93062649312,45.0054178459383,42.5609379838817,45.0054178459383,42.5609379838817,45.0054178459383,42.5609379838817,-1.25150893742345e-17,-1.59785191666214e-17,0,3,0,0,5.89304898032167e-17,8.83972252618613e-17,20.6485179694621,0.999999942650247,0.999999942650247,0.999999942650247,0.999999942650247,0.999999942650247,0.999999942650247
-3.2359927880395e-19,6.31567754129271e-17,-0.120320769864076,3.7749128449203e-18,-1.57424210138169e-18,0.776967332937868,9.28061505044996e-18,2.89744368686599e-18,1.68159944704452,3.78254681556821e-19,5.37131953826253e-19,0.125312064758324,4519.14309161029,4326.87412289279,4519.14309161029,4326.87412289279,4519.14309161029,4326.87412289279,43.9658380275276,41.5798933149606,43.9658380275276,41.5798933149606,43.9658380275276,41.5798933149606,-1.51706296224625e-17,-2.1132264014315e-19,0,3,0,0,9.23434154543206e-17,-1.24895655279378e-16,20.2568223736022,0.999999978493843,0.999999978493843,0.999999978493843,0.999999978493843,0.999999978493843,0.999999978493843
-3.91818054879547e-17,1.41086669205722e-16,-0.129181712602166,3.57872168933398e-18,-5.48441772048644e-19,0.775719700410073,7.38528338886799e-18,2.20509677817003e-18,1.78183435304947,4.51411554379042e-19,5.55474179078158e-19,0.142633125230775,4437.80967587079,4250.2271652894,4437.80967587079,4250.2271652894,4437.80967587079,4250.2271652894,42.9565382193833,40.6287496933561,42.9565382193833,40.6287496933561,42.9565382193833,40.6287496933561,-6.19208750533228e-18,1.63624322606722e-17,0,3,0,0,6.75249797519402e-17,3.4734012379484e-17,19.8334906004952,0.999999991935191,0.999999991935191,0.999999991935191,0.999999991935191,0.999999991935191,0.999999991935191
-1.00807796590636e-19,1.02171399496555e-16,-0.137891981496565,3.18743188436415e-18,6.7236543173775e-19,0.774384190963679,5.16308125507716e-18,1.16544040203632e-18,1.87759892686076,5.28632250449172e-19,5.68079892714002e-19,0.160934336894373,4359.1697756262,4176.22919766924,4359.1697756262,4176.22919766924,4359.1697756262,4176.22919766924,41.9806633528516,39.7104784779763,41.9806633528516,39.7104784779763,41.9806633528516,39.7104784779763,-1.00119642455279e-17,2.03217910664701e-17,0,3,0,0,-3.68185033274832e-17,-7.3219601721951e-17,19.3864573811293,0.999999996975697,0.999999996975697,0.999999996975697,0.999999996975697,0.999999996975697,0.999999996975697
