Time,Accel_AccelX,Accel_AccelY,Accel_AccelZ,AttitudeEuler_Pitch,AttitudeEuler_Roll,AttitudeEuler_Yaw,AttitudeRate_BodyRotationRateX,AttitudeRate_BodyRotationRateY,AttitudeRate_BodyRotationRateZ,Barometer_PressAbs,Barometer_PressAltitude,Barometer_Temperature,FlightMode_mode,FlightMode_type,GPS_Altitude,GPS_CourseAngle,GPS_GroundSpeed,GPS_Latitude,GPS_Longitude,GPS_SatellitesVisible,Gyro_GyroX,Gyro_GyroY,Gyro_GyroZ,Mag_MagX,Mag_MagY,Mag_MagZ
557.81 sec,-0.116087338302241,-0.0220799005476948,-9.36269982475384,0.01118325,0.02493872,1.770477,0.185490492301038,-1.01911285625544,-0.580896821960731,101448.238816589,7.45327812748608,48.6819910385185,5,2,7.05511326233001,244.263916015625,0.0880028432743164,37.2529620353417,126.316358001198,17,-0.0127685086973346,-0.0160888357697458,-0.00441427067145063,-0.0415842293307115,-0.266707898990161,0.39270790497484
557.82 sec,-0.138016666441093,-0.0440083423240482,-9.36169824680221,0.01105078,0.02483468,1.770343,0.102241469003189,-0.978049832349496,-0.524930223776296,101448.468426022,7.43293987909384,48.6829906986143,5,2,7.05555856349813,244.263916015625,0.0872029951123171,37.2529620353417,126.316357986201,17,-0.0116096078217228,-0.0162781853962218,-0.00294655077971003,-0.0417840195609742,-0.26660800387503,0.392608009859709
557.83 sec,-0.159945994579945,-0.0659367841004016,-9.36069666885058,0.01091831,0.02473064,1.770208,0.0189924457063095,-0.93698680844403,-0.468963625592512,101448.698035456,7.4126016307016,48.68399035871,5,2,7.05600386466625,244.263916015625,0.0864031469503177,37.2529620353417,126.316357971204,17,-0.010450706946111,-0.0164675350226978,-0.00147883088796942,-0.0419838097912369,-0.266508108759899,0.392508114744578
557.84 sec,-0.181690607125418,-0.0878380790412743,-9.35976638437908,0.01078584,0.0246266,1.770074,-0.0642565775915391,-0.895923784538087,-0.412997027408076,101448.927644889,7.39226338230935,48.6849900188058,5,2,7.05644916583437,244.263916015625,0.0856032987883184,37.2529620353417,126.316357956207,17,-0.00930176762019638,-0.0166548136364469,-1.73548611892721e-05,-0.0421836000214996,-0.266408213644767,0.392408219629446
557.85 sec,-0.16742949874968,-0.104447772096642,-9.37273299459931,0.01065337,0.02452256,1.76994,-0.147505600889388,-0.854860760632143,-0.357030429223641,101449.157254322,7.37192513391711,48.6859896789015,5,2,7.0568944670025,244.263916015625,0.0848034506263098,37.2529620353417,126.31635794121,17,-0.0100945851962204,-0.016438399714513,0.000227034642886743,-0.0423833902517599,-0.266308318529637,0.392308324514316
557.86 sec,-0.153168390373776,-0.121057465152204,-9.3856996048197,0.0105209,0.02441852,1.769805,-0.230754624187236,-0.8137977367262,-0.301063831039206,101449.386863756,7.35158688552487,48.6869893389972,5,2,7.05733976817061,244.263916015625,0.0840036024643105,37.2529620353417,126.316357926213,17,-0.0108874027722537,-0.0162219857925765,0.000471424146965603,-0.0425831804820226,-0.266208423414506,0.392208429399185
557.87 sec,-0.138907281998204,-0.137667158207379,-9.39866621503978,0.01038843,0.02431449,1.769671,-0.314003647485085,-0.772734712820256,-0.24509723285477,101449.616473189,7.33124863713263,48.687988999093,5,2,7.05778506933873,244.263916015625,0.0832037543023111,37.2529620353417,126.316357911216,17,-0.0116802203482685,-0.0160055718706451,0.000715813651038773,-0.0427829707122853,-0.266108528299375,0.392108534284053
557.88 sec,-0.124646173622466,-0.154276851262747,-9.41163282526001,0.01025596,0.02421045,1.769537,-0.397252670782934,-0.731671688914313,-0.189130634670335,101449.846082623,7.31091038874039,48.6889886591887,5,2,7.05823037050685,244.263916015625,0.0824039061403211,37.2529620353417,126.316357896218,17,-0.0124730379242926,-0.0157891579487112,0.000960203155114788,-0.042982760942548,-0.266008633184243,0.392008639168922
557.89 sec,-0.125288757914936,-0.153804041755476,-9.42403852011189,0.01012349,0.02410641,1.769403,-0.480501694080782,-0.690608665008369,-0.1331640364859,101450.075692056,7.29057214034815,48.6899883192845,5,2,7.05867567167497,244.263916015625,0.0816040579783218,37.2529620353417,126.316357881221,17,-0.012308461267435,-0.0149130713315809,0.00185517754425029,-0.0426341875371765,-0.265542744502805,0.391817111366394
557.9 sec,-0.127455809773499,-0.151583898772926,-9.43638684010337,0.01011101,0.02405255,1.769216,-0.439244784107565,-0.591464915837099,-0.126781379776617,101449.967596655,7.30014123874753,48.6899989116937,5,2,7.05912097284309,244.263916015625,0.0808042098163225,37.2529620353417,126.316357866224,17,-0.0120459547559781,-0.0139695081735388,0.00281669890119724,-0.0422338231856033,-0.265042289063338,0.391616929190607
557.91 sec,-0.129622861632062,-0.149363755790376,-9.44873516009485,0.01009871,0.02399877,1.76903,-0.39781381951351,-0.492239971991291,-0.120468039555901,101449.855884607,7.31003062953991,48.6899989116937,5,2,7.05956627401121,244.263916015625,0.0800043616543231,37.2529620353417,126.316357851227,17,-0.0117834482445212,-0.0130259450154967,0.00377822025814419,-0.0418334588340348,-0.264541833623878,0.391416747014823
557.92 sec,-0.131492803854226,-0.147016206725878,-9.46105584555037,0.0100864,0.02394499,1.768844,-0.356382854919937,-0.393015028146639,-0.114154699335259,101449.744172559,7.31992002033229,48.6899989116937,5,2,7.06001157517933,244.263916015625,0.0792045134923238,37.2529620353417,126.31635783623,17,-0.0115099117645387,-0.0120601771641437,0.00472271712387745,-0.0414330944824663,-0.264041378184417,0.391216564839039
557.93 sec,-0.107141702351559,-0.13342459137647,-9.47093767919185,0.01007409,0.02389121,1.768657,-0.314951890326364,-0.293790084301986,-0.107841359114617,101449.632460512,7.32980941112467,48.6899989116937,5,2,7.06045687634745,244.263916015625,0.0784046653303245,37.2529620353417,126.316357821233,17,-0.0102629390456744,-0.00913476155024372,0.00416473856027893,-0.0410327301308978,-0.263540922744956,0.391016382663255
557.94 sec,-0.0827906008488925,-0.119832976027062,-9.48081951283332,0.01006179,0.02383742,1.768471,-0.27352092573279,-0.194565140457334,-0.101528018893974,101449.520748464,7.33969880191705,48.6899989116937,5,2,7.06090217751557,244.263916015625,0.0776048171683252,37.2529620353417,126.316357806235,17,-0.00901596632681013,-0.00620934593634375,0.00360675999668041,-0.0406323657793293,-0.263040467305496,0.39081620048747
557.95 sec,-0.0584394993462257,-0.106241360677654,-9.4907013464748,0.01004948,0.02378364,1.768285,-0.2320899611397,-0.0953401966138362,-0.0952146786734054,101449.409036417,7.34958819270942,48.6899989116937,5,2,7.06134747868369,244.263916015625,0.0768049690063258,37.2529620353417,126.316357791238,17,-0.00776899360794584,-0.00328393032244378,0.0030487814330819,-0.0402320014277608,-0.262540011866035,0.390616018311686
557.96 sec,-0.0340883978435589,-0.0926497453282462,-9.50058318011627,0.01003717,0.02372986,1.768098,-0.190658996546126,0.00388474723081625,-0.0889013384527631,101449.297324369,7.3594775835018,48.6899989116937,5,2,7.0617927798518,244.263916015625,0.0760051208443265,37.2529620353417,126.316357776241,17,-0.00652202088908155,-0.000358514708543809,0.00249080286948338,-0.0398316370761923,-0.262039556426574,0.390415836135902
557.97 sec,-0.0167170338941044,-0.0853458844250767,-9.50156613958787,0.01002487,0.02367608,1.767912,-0.149228031952553,0.103109691075469,-0.0825879982321208,101449.185612322,7.36936697429418,48.6899989116937,5,2,7.06223400861884,244.263916015625,0.0754039885381218,37.2529620353417,126.316357771178,17,-0.00498118976287846,4.68150659765315e-05,0.00284203362752149,-0.0394312727246237,-0.261539100987114,0.390215653960118
557.98 sec,0.000605155925993559,-0.0780863224441551,-9.50248640409594,0.01001256,0.0236223,1.767725,-0.10779706735898,0.202334634920121,-0.0762746580114785,101449.073900274,7.37925636508656,48.6899989116937,5,2,7.0626752111711,244.263916015625,0.0748041354022707,37.2529620353417,126.31635776618,17,-0.00343828832508994,0.000434390157518121,0.00319967000993529,-0.0390309083730599,-0.261038645547659,0.390015471784336
